@relation incubator-hivemall_Concat_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {buggy,clean}

@data
7,0.041667,0.03125,0,4,594,6,3,14,34,1,4,6,0.5,28,10.833334,96,2.742462,clean
7,0.152174,0,1,2,189,2,1,20,189,2,12,20,0.3,20,20,46,2.337705,buggy
3,0.056604,0,0,1,0,1,1,14,0,1,2,6,0.333333,11,11,53,3.708525,buggy
211,1.015873,0.100529,6,4,559,6,1,19,119,1,4,12,0.833333,61,47,189,2.797129,clean
2,0.006579,0.006579,0,2,29,2,2,23,29,1,11,16,0.5,15,15,152,4.482053,buggy
3,0.002597,0.005195,0,5,335,6,4,9,52,1,9,10,0.4,2,2,385,3.936082,buggy
6,0.093023,0.046512,2,1,0,1,1,6,0,1,25,67,0.059701,1,1,43,2.477916,buggy
26,0.136126,0,5,3,566,5,3,19,301,1,4,12,0.833333,61,47,191,2.797129,clean
8,0.024845,0.024845,1,2,13,2,2,15,13,6,82,248,0.120968,39,25,161,2.229902,buggy
14,0.020772,0.020772,2,4,295,5,2,15,286,6,82,248,0.120968,39,25,337,2.229902,buggy
3,0.030769,0.015385,0,1,0,1,1,15,0,6,82,248,0.120968,39,25,65,2.229902,buggy
4,0.016807,0.016807,1,1,0,1,1,15,0,3,34,67,0.238806,6,5,119,2.302129,buggy
5,0.02439,0.036585,0,1,0,1,1,11,0,4,19,31,0.290323,7,6,82,2.258878,buggy
3,0.021739,0.01087,0,6,371,8,3,15,303,6,82,248,0.120968,39,25,92,2.229902,buggy
3,0.011905,0.02381,0,1,0,1,1,11,0,4,19,31,0.290323,7,6,84,2.258878,buggy
8,0.038835,0.038835,0,1,0,1,1,15,0,6,82,248,0.120968,39,25,103,2.229902,buggy
7,0.01087,0.014493,0,1,0,1,1,16,0,1,1,6,0.166667,2,2,276,2.477031,buggy
4,0.027027,0.009009,0,1,0,1,1,16,0,2,9,22,0.227273,25,14,111,2.351593,buggy
4,0.004283,0.004283,0,2,65,2,1,2,65,1,7,21,0.142857,2,2,467,2.299418,buggy
71,0.092199,0.07565,10,3,171,3,2,12,16,1,6,22,0.318182,2,2,423,2.286296,buggy
5,0.004082,0.016327,1,4,234,5,4,20,18,1,3,10,0.4,3,3,245,2.44224,buggy
20,0.107784,0.011976,2,1,0,1,1,19,0,1,3,7,0.285714,3,3,167,7.504166,buggy
47,0.089347,0.072165,12,2,18,2,2,20,18,2,12,20,0.3,20,20,291,2.337705,buggy
9,0.002841,0.009943,0,6,549,7,2,17,126,1,1,1,1,51,37,704,2.542773,clean
2,0.009901,0.009901,0,1,504,3,1,18,200,1,2,2,1,56,42,101,2.29652,clean
2,0.005882,0.005882,0,3,265,4,2,18,40,2,19,48,0.083333,41,27,170,3.518396,buggy
2,0.021277,0.021277,0,3,54,3,2,18,40,2,19,48,0.083333,41,27,47,3.518396,buggy
5,0.009547,0.002387,0,3,171,3,2,12,16,1,6,22,0.318182,2,2,419,2.286296,buggy
9,0.016908,0.004831,1,2,154,2,1,14,154,1,13,38,0.236842,13,13,414,3.606278,buggy
3,0.019231,0.038462,0,3,295,3,1,15,286,6,82,248,0.120968,39,25,52,2.229902,buggy
4,0.0125,0.0125,0,0,0,1,1,20,0,1,3,4,0.5,5,5,160,6.042377,clean
11,0.013123,0.001312,2,5,496,7,3,17,56,1,3,3,1,52,38,762,2.492762,clean
4,0.012766,0.004255,1,3,131,3,1,0,131,1,13,27,0.333333,24,24,235,2.536551,buggy
8,0.044944,0.044944,1,2,178,2,2,15,178,3,34,67,0.238806,6,5,89,2.302129,buggy
55,0.185714,0.207143,3,1,0,1,1,2,0,1,7,21,0.142857,2,2,140,2.299418,buggy
31,0.038462,0.036058,5,2,323,2,2,15,323,6,82,248,0.120968,39,25,416,2.229902,buggy
2,0.004115,0.004115,0,3,203,3,2,18,71,1,5,8,0.75,19,19,243,2.437778,buggy
2,0.004149,0.004149,0,6,412,8,5,15,176,3,34,67,0.238806,6,5,241,2.302129,buggy
2,0.020833,0.020833,0,1,0,1,1,15,0,3,34,67,0.238806,6,5,48,2.302129,buggy
46,0.294118,0.247059,2,2,130,2,2,15,130,6,82,248,0.120968,39,25,85,2.229902,buggy
2,0.007968,0,1,2,142,2,2,14,142,1,9,31,0.193548,1,1,251,3.088599,buggy
12,0.066667,0.093333,1,2,0,2,1,17,0,1,3,5,0.2,3,3,75,2.29652,buggy
31,0.092369,0.032129,7,1,0,1,1,18,0,2,19,48,0.083333,41,27,249,3.518396,buggy
42,0.040134,0.0301,4,3,323,3,3,15,286,6,82,248,0.120968,39,25,598,2.229902,buggy
20,0.095808,0.023952,3,4,179,4,3,23,85,1,11,16,0.5,15,15,167,4.482053,buggy
4,0.002762,0.002762,0,4,310,5,2,15,0,2,4,4,0.75,71,35.833332,724,2.289353,clean
2,0.000813,0.000813,0,17,506,18,4,18,40,2,19,48,0.083333,41,27,1230,3.518396,buggy
15,0.020036,0.007286,2,3,50,3,2,13,47,1,1,1,1,21,21,549,2.566701,buggy
123,0.840708,0.247788,2,1,0,1,1,14,0,1,13,38,0.236842,13,13,113,3.606279,buggy
3,0.027397,0.013699,0,3,29,4,2,23,29,1,11,16,0.5,15,15,73,4.482053,buggy
4,0.016129,0.016129,0,2,13,2,2,15,13,6,82,248,0.120968,39,25,124,2.229902,buggy
