@relation crunch_Concat_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {clean,buggy}

@data
135,0.169014,0.021127,8,2,720,3,3,8,268,1,1,1,1,4,4,710,16.276424,clean
1,0,0.020408,0,1,0,1,1,13,0,3,4,16,0.1875,4,3.5,49,18.173513,buggy
2,0.039216,0,0,0,0,1,1,1,0,1,2,2,0.5,1,1,51,18.446871,clean
24,0.134503,0.005848,2,1,5,2,2,10,5,5,12,17,0.117647,4,2,171,18.285957,clean
9,0.052632,0.184211,0,0,0,1,1,16,0,1,2,10,0.1,3,3,38,18.494093,clean
2,0.019608,0.019608,0,1,0,1,1,11,0,3,9,14,0.285714,2,1.5,51,18.530489,buggy
108,0.270386,0.193133,4,1,44,2,2,12,44,1,2,2,0.5,2,1.5,233,16.609093,buggy
21,0.192661,0,1,1,6,3,3,10,5,5,12,17,0.117647,4,2,109,18.285955,clean
36,0.131474,0.011952,3,1,445,4,4,10,6,1,2,4,0.25,5,3,251,17.678297,clean
4,0.036364,0.036364,0,1,0,1,1,11,0,3,9,14,0.285714,2,1.5,55,18.530489,buggy
7,0.031111,0,1,2,211,2,2,11,211,3,9,14,0.285714,2,1.5,225,18.530489,buggy
13,0.055794,0,1,1,783,5,3,10,4,5,12,17,0.117647,4,2,233,18.285957,clean
6,0.013333,0.013333,2,1,0,1,1,13,0,3,4,16,0.1875,4,3.5,225,18.173513,buggy
2,0.019608,0.019608,0,1,5,2,2,10,5,5,12,17,0.117647,4,2,51,18.285957,clean
132,0.261111,0.472222,2,2,451,2,2,13,451,3,4,16,0.1875,4,3.5,180,18.173512,buggy
