@relation jena_Add_LSTM_metric-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute 'Modify Files' numeric
@attribute Directories numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute 'LSTM C.E.' numeric
@attribute bug {1,0}

@data
6,2,4,1,1,1,4,2,4.243309,0
112,112,0,2,2,1,3,3,23.193619,0
30,19,11,3,11,3,18,13,4.223217,0
4,4,0,0,2,2,23,6,3.860062,0
26,15,11,0,2,1,10,8,4.661715,0
44,27,17,8,4,3,48,10,6.975429,0
101,43,58,2,3,2,12,7,10.520425,0
98,8,90,9,14,7,23,14,4.982316,0
2,2,0,0,1,1,1,1,3.935097,0
88,45,43,4,5,2,61,11,9.572562,0
8,6,2,1,2,2,4,2,4.32634,0
756,556,200,31,34,15,346,100,19.122299,0
67,28,39,0,1,1,4,3,13.961318,0
5,5,0,1,1,1,9,4,4.203633,0
1057,532,525,3,3,1,25,5,21.434996,1
16,8,8,3,3,3,16,7,4.822636,0
26,15,11,3,2,1,4,2,4.691019,0
4,2,2,0,1,1,1,1,3.912129,0
4,2,2,0,2,1,2,2,4.078246,0
4,2,2,0,1,1,27,3,3.985873,0
383,218,165,29,16,7,27,17,19.141178,1
4,1,3,0,1,1,8,1,3.779455,0
1816,1812,4,10,9,3,24,13,20.636034,1
13,7,6,2,2,2,26,13,4.649549,1
12,6,6,0,1,1,3,1,3.988886,0
21,17,4,1,1,1,3,2,5.3742,0
18,16,2,2,1,1,5,3,5.157427,0
185,182,3,7,8,5,27,12,21.926191,0
14,8,6,2,2,2,30,13,4.849225,0
4,2,2,0,1,1,2,2,3.851831,0
112,76,36,12,8,4,128,23,16.983133,0
19,9,10,3,1,1,7,5,5.274367,0
40,31,9,1,1,1,1,1,7.183011,0
2689,2529,160,33,34,10,85,43,23.232639,1
475,283,192,23,26,13,93,53,21.205006,1
13,10,3,4,2,1,10,2,4.584797,0
37,20,17,4,1,1,22,3,8.340785,0
70,44,26,7,8,6,69,23,12.506989,0
52,33,19,2,2,2,6,4,7.225109,1
6,3,3,2,1,1,2,2,4.614011,0
1326,1218,108,26,23,6,140,48,18.699587,0
206,111,95,14,6,1,79,22,18.288105,0
32054,32054,0,259,259,36,1535,307,29.047091,0
18,9,9,0,3,1,20,3,3.852752,0
143,111,32,9,8,4,29,22,19.592825,0
336,315,21,14,11,6,139,38,20.498533,0
8,4,4,1,1,1,2,1,4.506809,0
5,3,2,0,2,1,6,2,4.195879,0
96,77,19,9,2,2,21,8,14.644831,0
105,90,15,13,4,4,57,17,16.55847,0
33,33,0,1,1,1,2,1,12.318429,0
4,3,1,0,1,1,29,6,3.986296,0
2575,2260,315,90,57,31,823,218,25.927113,0
336,315,21,14,11,6,150,49,20.498531,0
163,83,80,2,5,2,31,8,19.38043,0
3,2,1,1,1,1,4,2,4.014313,0
121,60,61,3,1,1,1,1,15.366029,0
235,139,96,31,25,9,63,25,20.1821,0
2,1,1,0,1,1,1,1,3.95137,0
105,92,13,11,4,3,33,14,18.928907,0
389,227,162,4,5,3,6,6,22.544056,0
98,58,40,6,3,2,82,15,13.929192,0
4,2,2,1,1,1,3,2,4.42193,0
32,23,9,8,1,1,6,4,4.668164,0
85,4,81,3,36,4,119,63,4.229969,0
24,17,7,3,1,1,5,2,6.018298,0
13,13,0,1,1,1,3,3,4.555284,0
607,381,226,44,19,6,100,32,20.655521,0
100,44,56,2,3,3,10,6,11.7332,0
77,43,34,6,1,1,5,1,10.93594,0
36,20,16,2,1,1,7,2,6.959336,0
550,548,2,4,3,2,9,4,22.773104,0
50,32,18,1,1,1,43,10,6.2165,0
232,225,7,9,5,5,71,13,27.025833,0
63,31,32,7,13,7,27,16,16.351099,0
998,998,0,14,14,2,62,14,24.542603,1
67,53,14,4,2,2,19,8,10.452375,0
16,15,1,2,1,1,19,3,5.42054,0
1962,1507,455,21,18,3,23,20,17.431519,1
2,1,1,0,1,1,7,4,3.825187,0
8328,4535,3793,247,126,20,1220,279,29.816271,1
137,137,0,1,1,1,1,1,20.152172,0
5,2,3,0,1,1,16,5,4.028756,0
12,8,4,3,2,1,5,4,4.553585,0
747,542,205,35,26,10,323,65,19.311386,1
2,1,1,0,1,1,1,1,3.935097,0
19,9,10,2,1,1,7,2,4.468051,0
448,199,249,3,1,1,6,2,16.738075,0
26,17,9,3,1,1,26,7,5.997844,0
14,5,9,0,2,1,5,2,4.403823,0
18,11,7,1,3,3,23,3,5.436005,0
28,17,11,3,3,2,7,4,6.04529,0
46,28,18,2,2,2,4,2,8.278728,0
353,353,0,1,1,1,1,1,18.49032,0
76,27,49,7,1,1,18,5,7.426,0
10,5,5,1,1,1,10,3,4.488652,0
30,30,0,0,1,1,1,1,5.010089,0
15,9,6,1,2,1,30,10,5.015628,1
441,384,57,24,8,4,97,23,22.781425,1
214,214,0,1,1,1,2,2,13.429985,0
30,21,9,6,1,1,4,4,4.622933,0
34,21,13,0,3,2,14,3,6.643654,0
11,9,2,0,2,1,12,5,4.351943,0
1904,932,972,117,3,1,15,4,15.737856,0
370,370,0,9,9,4,9,9,17.593781,0
7,6,1,1,1,1,3,2,4.308011,1
13,8,5,1,1,1,11,4,4.666991,0
2,1,1,0,1,1,12,1,3.825187,0
9,2,7,0,3,3,23,3,4.014313,0
304,223,81,9,11,5,86,29,22.243752,0
34,18,16,7,4,2,53,17,4.795464,0
4,2,2,0,2,2,4,2,4.198725,0
236,180,56,3,2,2,19,9,17.378284,0
1808,1774,34,19,10,3,40,17,14.748033,0
13,8,5,1,1,1,10,3,4.666991,0
14,11,3,0,1,1,4,3,5.852056,0
151,151,0,3,3,1,18,9,19.840811,0
40,27,13,3,6,4,37,17,8.216167,0
1816,1812,4,10,9,3,33,13,20.636034,0
4,2,2,0,1,1,1,1,4.083297,0
55,38,17,5,6,3,24,12,6.899015,0
17,10,7,2,2,2,23,4,4.532482,1
82,82,0,1,1,1,2,2,18.337263,0
7,5,2,1,1,1,1,1,4.401415,0
49,39,10,0,6,2,6,6,7.674053,0
28,26,2,2,1,1,3,1,5.981021,0
120,86,34,9,3,1,86,25,19.705772,0
221,123,98,19,11,5,15,11,17.771225,0
130,128,2,3,4,2,10,4,21.512787,0
13,10,3,0,1,1,7,4,4.830229,0
8,4,4,3,1,1,7,3,3.927384,0
60,60,0,1,1,1,2,2,15.785314,0
9,4,5,1,1,1,6,5,4.225882,0
1,1,0,0,1,1,1,1,3.998027,0
15,12,3,2,2,2,6,4,5.261691,0
16,9,7,1,1,1,2,2,4.694365,0
283,216,67,4,9,3,45,16,24.009287,0
2,1,1,0,1,1,4,2,3.998027,0
51,28,23,3,4,3,49,14,6.659998,0
60,37,23,1,1,1,14,6,8.898746,1
1178,1055,123,44,20,10,143,56,22.851402,0
2,1,1,0,1,1,10,5,3.825187,0
155,89,66,5,6,4,20,13,20.508627,0
9,9,0,1,1,1,3,2,5.108519,0
