@relation groovy_developer_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute isBuggy {clean,buggy}

@data
14,0.039604,0.029703,4,7,578,8,2,1,35,2,2,2,1,590,439,202,buggy
0,0,0,0,0,0,1,1,19,0,1,18,235,0.004255,430,270.8333,38,clean
11,0.067073,0,0,1,78,3,2,23,10,1,3,9,0.555556,140,91.5,164,buggy
4,0.054054,0.054054,1,0,0,1,1,10,0,1,3,3,0.666667,427,267.8333,37,clean
2,0.00103,0.00103,0,6,109,7,3,21,0,1,9,14,0.142857,385,234,971,buggy
18,0.046243,0.00578,3,6,83,9,1,1,75,1,2,2,1,599,249.66666,346,buggy
2,0,0.029412,0,4,408,5,2,16,304,1,54,421,0.114014,303,144.33333,68,buggy
3,0.000957,0.001914,0,17,366,24,4,14,1,1,1,1,1,595,444,1045,buggy
271,0.992647,1,0,2,414,3,3,16,346,1,54,421,0.114014,303,144.33333,136,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,45,clean
4,0.022727,0.022727,0,1,0,1,1,21,0,1,51,278,0.183453,190,190,88,buggy
4,0.015385,0.046154,1,0,236,2,2,9,236,1,1,2,0.5,217,168.5,65,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,45,clean
1,0.014925,0,0,3,104,4,1,14,0,1,20,76,0.052632,393,242,67,buggy
5,0.015228,0.010152,0,2,84,3,3,19,18,1,2,3,1,365,214,197,buggy
474,1.004237,1.004237,1,0,0,1,1,8,0,1,16,212,0.004717,289,289,236,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,393,clean
4,0.002328,0.002328,0,4,248,7,2,0,128,1,45,201,0.348259,516,365,859,clean
0,0,0,0,0,0,1,1,13,0,1,1,17,0.058824,411,251.83333,181,clean
2,0.027778,0.027778,0,2,488,3,3,1,74,2,13,28,0.5,644,294.66666,36,buggy
2,0,0.035714,0,1,414,2,2,16,414,1,54,421,0.114014,303,144.33333,56,buggy
14,0.132075,0.132075,1,1,0,1,1,14,0,1,1,1,1,158,158,53,buggy
1,0.017241,0,0,1,109,2,2,0,109,1,22,70,0.2,387,236,58,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,387,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,108,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,71,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,1003,clean
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,53,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,220,clean
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,245,clean
4,0.015748,0.015748,0,1,254,4,3,1,0,1,45,201,0.004975,517,366,127,buggy
98,0.96,1,0,1,414,2,2,16,414,1,54,421,0.114014,303,144.33333,50,buggy
7,0.011945,0,1,6,512,10,4,22,0,1,5,5,0.2,653,303.66666,586,buggy
2,0,0.015748,0,2,414,5,4,16,159,1,54,421,0.114014,303,144.33333,127,buggy
5,0.004854,0.019417,0,2,393,3,2,22,388,1,6,53,0.132075,285,236.5,206,clean
2,0.002101,0.002101,0,3,524,4,2,19,131,2,14,19,0.894737,365,205.83333,476,buggy
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,50,clean
3,0,0.027778,0,0,0,1,1,13,0,1,10,54,0.222222,284,235.5,108,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,562,clean
28,0.024119,0.001855,3,3,327,4,2,10,13,1,3,3,1,239,239,1078,buggy
0,0,0,0,0,0,1,1,19,0,1,18,235,0.004255,430,270.8333,23,clean
0,0,0,0,0,0,1,1,13,0,1,1,8,0.125,419,259.8333,214,clean
0,0,0,0,1,530,3,2,14,138,1,2,12,0.416667,381,221.83333,90,clean
23,0.003759,0.001044,1,57,340,91,3,12,0,1,1,1,1,410,259,4788,buggy
26,0.027311,0.027311,12,2,254,4,2,0,145,1,45,201,0.348259,516,365,476,clean
0,0,0,0,0,0,1,1,18,0,1,1,13,0.076923,396,236.83333,64,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,64,clean
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,68,clean
14,0.030108,0,0,1,6,5,1,0,0,1,1,17,0.058824,581,430,465,clean
8,0.090909,0.012987,2,10,580,13,2,11,236,2,3,7,0.857143,591,440,77,buggy
0,0,0,0,0,0,1,1,11,0,1,1,1,1,369,209.83333,1924,clean
2,0.055556,0,0,3,110,4,2,14,0,1,20,76,0.052632,393,242,36,buggy
5,0.005495,0.003663,2,1,193,2,2,8,193,1,3,3,1,475,324,546,buggy
26,0,0.001476,4,6,109,13,5,8,1,1,9,12,0.833333,391,240,17614,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,224,clean
18,0.004013,0,0,9,68,17,2,15,0,1,1,1,1,74,74,4485,clean
74,0.020937,0.052841,5,4,76,5,3,10,10,1,3,3,1,350,199,1003,buggy
20,0.012282,0.008188,3,4,62,4,2,22,7,1,1,1,1,283,283,977,buggy
8,0.003244,0.003244,2,8,506,14,4,21,7,1,1,1,1,652,302.66666,1233,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,108,clean
33,0.094118,0.002941,0,1,230,2,1,21,230,1,51,278,0.183453,190,190,340,buggy
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,597,clean
6,0.003409,0.003409,2,11,249,12,3,22,84,1,10,19,0.736842,229,180.5,880,buggy
2,0.004219,0.004219,0,1,0,2,1,14,0,1,7,31,0.290323,421,261.8333,237,buggy
10,0.013158,0.052632,0,1,0,1,1,20,0,1,1,2,0.5,250,250,152,buggy
11,0.01023,0.003836,0,1,48,2,2,21,48,2,21,33,0.575758,30,30,782,clean
2,0.024096,0,1,1,66,4,4,20,3,1,1,2,1,23,23,83,clean
2,0.007463,0.007463,0,0,0,2,1,18,0,1,4,12,0.166667,382,222.83333,134,clean
8,0.00238,0.001428,2,3,166,6,3,8,0,1,1,1,1,212,212,2101,clean
2,0,0.026667,0,1,414,2,2,16,414,1,54,421,0.114014,303,144.33333,75,buggy
53,0.002079,0.053015,0,1,226,2,2,21,226,1,51,278,0.183453,190,190,962,buggy
0,0,0,0,0,0,1,1,19,0,1,18,235,0.004255,430,270.8333,256,clean
4,0.042553,0,0,2,500,9,1,16,157,1,1,18,0.111111,649,299.66666,94,clean
10,0.005171,0.001293,1,18,155,20,5,14,0,1,1,1,1,446,295,1547,buggy
4,0.010204,0.010204,0,1,0,1,1,20,0,2,6,8,0.5,69,69,196,buggy
1,0.006711,0,0,2,259,3,2,2,9,2,2,2,1,258,258,149,clean
1,0.008065,0,0,3,104,5,1,14,0,1,20,76,0.052632,393,242,124,buggy
333,0.970414,1,0,2,414,3,3,16,139,1,54,421,0.114014,303,144.33333,169,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,97,clean
