@relation incubator-dolphinscheduler_developer_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute isBuggy {clean,buggy}

@data
2,0.018182,0.018182,0,1,10,3,1,18,0,1,2,21,0.095238,17,17,55,clean
37,0.222222,0.034722,5,3,40,13,5,16,0,5,23,67,0.059701,4,4,144,clean
9,0,0.023377,0,1,62,17,10,18,0,2,2,5,0.8,54,54,385,clean
4,0.005208,0.005208,1,3,12,11,5,11,0,1,1,1,1,24,24,384,clean
2,0.003425,0,1,1,4,10,6,20,0,4,13,25,0.16,8,8,584,clean
33,0.057534,0.032877,2,1,2,5,5,11,0,4,11,26,0.038462,21,21,365,clean
5,0.0078,0,0,3,11,12,8,14,1,1,2,3,0.333333,51,51,641,clean
5,0.0078,0,0,3,11,16,9,18,0,1,2,3,0.333333,20,20,641,clean
175,0.803828,0.033493,2,1,1,3,3,15,0,2,6,12,0.083333,29,29,209,clean
4,0.005181,0.005181,0,2,4,16,6,15,0,1,1,1,1,14,14,386,clean
61,0.030094,0.00815,4,8,43,51,11,14,0,3,6,6,0.5,22,22,1595,clean
22,0.112426,0.017751,6,1,35,5,5,18,13,1,2,20,0.3,15,15,169,buggy
6,0.005085,0.005085,0,5,67,29,12,18,15,2,4,8,0.75,21,21,590,buggy
7,0,0.09589,0,1,12,13,8,15,0,4,22,61,0.065574,1,1,73,clean
7,0.1875,0.03125,0,2,1,2,1,15,1,2,4,5,0.4,11,11,32,buggy
10,0.01221,0,0,2,2,5,3,21,0,3,7,6,0.166667,4,4,819,clean
8,0.013889,0.00463,0,2,8,14,8,16,0,4,5,5,0.6,2,2,432,clean
6,0.03125,0.03125,0,2,18,8,4,18,0,1,2,21,0.095238,17,17,96,clean
29,0.42029,0,2,0,1,3,2,17,0,4,9,13,0.230769,2,2,69,clean
14,0.006127,0.002451,1,9,47,57,11,17,0,2,2,2,0.5,37,37,1632,clean
