@relation cayenne_Line_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {clean,buggy}

@data
6,0.010909,0.010909,2,0,0,1,1,15,0,1,2,2,1,136,75,275,4.102077,clean
2,0.020833,0.020833,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,48,8.695129,clean
9,0.022727,0.079545,0,1,0,1,1,14,0,6,43,118,0.245763,102,102,88,12.315004,buggy
5,0.0375,0.025,1,2,302,4,2,12,26,10,37,99,0.191919,277,277,80,1.813493,clean
2,0.012048,0.012048,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,83,8.695129,clean
2,0.007634,0.007634,0,1,858,2,2,22,858,30,360,3113,0.11982,1,1,131,8.695129,clean
2,0.015873,0.015873,0,1,826,2,2,22,826,30,360,3113,0.11982,1,1,63,8.695129,clean
2,0.015873,0.015873,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,63,8.695129,clean
20,0.038328,0.031359,1,4,748,7,3,11,0,1,2,11,0.090909,541,237.5,287,2.291636,clean
14,0.01287,0.005148,3,4,8,4,1,16,2,1,3,3,1,9,9,777,3.071787,buggy
2,0.013699,0.013699,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,73,8.695129,clean
6,0.076923,0.076923,0,1,0,1,1,13,0,3,45,135,0.007407,52,52,39,12.315005,buggy
52,0.102362,0.102362,6,2,142,3,1,18,0,1,1,15,0.066667,190,190,254,4.162973,clean
2,0.014286,0.014286,0,5,144,5,1,15,8,7,14,36,0.194444,85,70,70,3.220948,buggy
11,0.022113,0.004914,1,5,203,9,2,12,82,1,12,47,0.276596,193,193,407,8.892987,buggy
2,0.001196,0.001196,0,4,858,6,2,22,146,30,360,3113,0.11982,1,1,836,8.695129,clean
21,0.179487,0,0,3,138,3,2,14,138,2,5,6,0.833333,167,167,117,3.321394,buggy
183,0.054795,0.571918,3,1,0,1,1,11,0,2,9,38,0.052632,33,19.5,292,11.211072,buggy
2,0.017544,0.017544,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,57,8.695129,clean
0,0,0,0,1,0,1,1,17,0,2,4,10,0.2,80,80,49,2.058152,buggy
67,0.065156,0.029745,4,9,761,11,2,12,0,1,3,5,0.2,526,222.5,706,2.41909,clean
40,0.212903,0.045161,3,0,0,1,1,15,0,1,1,1,1,1,1,155,4.393403,clean
17,0.081395,0.017442,1,0,0,1,1,14,0,1,1,1,1,30,30,172,3.629828,clean
111,1.523077,0.184615,2,2,142,2,1,16,142,4,50,151,0.059603,189,189,65,1.599715,buggy
8,0.070588,0.023529,1,3,540,4,1,17,503,1,49,135,0.037037,507,363,85,10.671924,buggy
2,0.002551,0.002551,0,1,788,2,2,22,788,30,360,3113,0.11982,1,1,392,8.695129,clean
2,0.002825,0.002825,0,0,190,3,3,22,187,30,360,3113,0.11982,1,1,354,8.695129,clean
2,0.015873,0.015873,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,63,8.695129,clean
6,0.016949,0.016949,0,4,62,4,2,10,19,3,19,31,0.354839,12,12,177,4.769564,buggy
2,0.02381,0.02381,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,42,8.695129,clean
6,0.019417,0.009709,0,4,799,6,1,17,1,2,7,29,0.103448,547,243.5,206,6.036873,clean
2,0.016667,0.016667,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,60,8.695129,clean
2,0.010101,0.010101,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,99,8.695129,clean
6,0.021429,0.021429,0,1,15,3,2,12,14,12,53,103,0.135922,134,134,140,4.769563,clean
45,0.065868,0.203593,5,1,0,1,1,17,0,1,2,3,0.666667,517,213.5,167,4.271042,buggy
22,0.042705,0.035587,1,3,7,3,1,12,5,1,8,8,0.875,16,16,281,3.819836,buggy
2,0.00346,0.00346,0,4,789,8,4,22,40,30,360,3113,0.11982,1,1,289,8.695129,clean
17,0.078313,0.024096,5,4,433,10,4,15,7,2,3,5,0.2,366,222,166,4.099008,clean
18,0.072,0.072,3,2,142,3,1,18,0,1,1,15,0.066667,190,190,125,4.162973,clean
2,0.009009,0.009009,0,1,370,4,2,22,27,30,360,3113,0.11982,1,1,111,8.695129,clean
2,0.004202,0.004202,0,2,419,4,3,22,27,30,360,3113,0.11982,1,1,238,8.695129,clean
10,0.172414,0.172414,1,1,7,2,1,16,7,2,9,59,0.016949,163,163,29,3.800358,clean
2,0.002294,0.002294,0,1,315,5,2,13,49,2,26,80,0.3,35,20,436,8.695129,buggy
2,0.014706,0.014706,0,1,705,3,3,22,690,30,360,3113,0.11982,1,1,68,8.695129,clean
2,0.014085,0.014085,0,1,774,2,2,22,774,30,360,3113,0.11982,1,1,71,8.695129,clean
6,0.006211,0.012422,0,1,0,1,1,14,0,6,43,118,0.245763,102,102,322,12.315004,buggy
253,0.351735,0.047319,26,1,0,1,1,18,0,1,5,20,0.1,213,213,634,4.576205,buggy
3,0.017544,0.035088,0,1,0,1,1,17,0,1,18,96,0.197917,149,149,57,5.992779,buggy
3,0.012195,0.006098,0,8,658,10,3,16,0,1,6,10,0.2,103,88,164,3.40608,buggy
82,2.171429,0.171429,2,3,178,4,1,10,35,4,50,151,0.02649,209,209,35,1.563952,clean
2,0.027778,0.027778,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,36,8.695129,clean
51,0.073298,0.193717,8,1,161,2,1,12,161,1,1,2,0.5,195,195,191,4.010341,clean
2,0.016393,0.016393,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,61,8.695129,clean
2,0.032258,0.032258,0,0,769,3,3,22,755,30,360,3113,0.11982,1,1,31,8.695129,clean
2,0.021277,0.021277,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,47,8.695129,clean
2,0.007813,0.007813,0,1,820,3,2,22,712,30,360,3113,0.11982,1,1,128,8.695129,clean
30,0.039474,0.355263,1,2,423,3,2,18,1,1,3,14,0.071429,402,258,76,3.980249,clean
10,0.013928,0.013928,3,7,658,9,3,17,4,1,7,9,0.666667,106,91,359,9.305659,buggy
6,0.061728,0.012346,2,2,9,3,2,15,0,12,38,69,0.072464,310,166,81,4.767971,clean
4,0.052632,0.052632,0,1,0,1,1,13,0,3,45,135,0.007407,52,52,38,12.315005,buggy
10,0.04375,0.01875,3,1,135,3,2,18,7,1,2,8,0.25,188,188,160,5.278751,clean
2,0.014085,0.014085,0,1,847,3,2,22,847,30,360,3113,0.11982,1,1,71,8.695129,clean
16,0.039216,0.065359,2,0,80,2,2,15,80,1,2,7,0.142857,226,226,153,5.700096,clean
6,0.065789,0.013158,1,1,0,1,1,11,0,1,26,45,0.377778,514,210.5,76,2.886984,buggy
8,0.096154,0.057692,0,4,375,7,3,11,0,1,2,11,0.090909,541,237.5,52,2.291636,clean
2,0.011905,0.011905,0,2,14,4,2,17,0,1,2,7,0.285714,15,15,84,8.695129,clean
45,0.034865,0.03645,1,1,47,4,2,16,0,1,1,1,1,110,110,631,4.035147,clean
109,1.507692,0.169231,2,3,178,4,1,10,35,4,50,151,0.02649,209,209,65,1.563952,clean
7,0.006623,0.016556,1,1,0,1,1,17,0,5,26,49,0.22449,105,105,302,4.318259,buggy
2,0.008547,0.008547,0,0,802,2,2,22,802,30,360,3113,0.11982,1,1,117,8.695129,clean
3,0.016393,0.032787,1,7,223,9,4,16,3,1,4,11,0.454545,477,333,61,2.708421,clean
14,0.081301,0.03252,1,4,682,5,1,17,503,1,49,135,0.037037,507,363,123,10.671925,buggy
4,0.022727,0.022727,1,1,7,2,1,16,7,2,9,59,0.016949,163,163,88,3.800358,clean
2,0.004695,0.004695,0,4,834,8,4,22,266,30,360,3113,0.11982,1,1,213,8.695129,clean
16,0.035088,0.021053,1,1,0,1,1,12,0,7,38,73,0.09589,55,55,285,2.68928,buggy
36,0.092784,0.092784,0,2,56,3,1,16,51,1,2,12,0.5,88,88,194,3.804369,clean
2,0.021739,0.021739,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,46,8.695129,clean
2,0.008475,0.008475,0,1,741,2,2,22,741,30,360,3113,0.11982,1,1,118,8.695129,clean
0,0,0,0,0,0,1,1,15,0,2,9,30,0.066667,287,287,64,4.587115,clean
51,0.320755,0,4,5,222,8,2,10,9,2,3,5,0.6,334,190,159,1.65272,clean
7,0.012739,0.002123,0,1,0,1,1,18,0,2,2,2,0.5,2,2,471,1.788417,buggy
6,0.015873,0.015873,2,1,14,2,2,12,14,12,53,103,0.135922,134,134,189,4.769564,clean
2,0.018868,0.018868,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,53,8.695129,clean
4,0.023529,0.023529,0,2,0,2,1,14,0,1,45,120,0.016667,191,191,85,6.459396,buggy
2,0.01087,0.01087,0,1,250,3,3,22,244,30,360,3113,0.11982,1,1,92,8.695129,clean
12,0.010345,0.003448,2,4,799,11,2,17,1,2,7,29,0.103448,547,243.5,870,6.036873,clean
3,0.002326,0.004651,0,12,854,15,2,12,7,1,1,1,1,167,106,430,9.788165,clean
12,0.010296,0.005148,2,5,281,8,2,15,8,12,38,69,0.072464,310,166,777,4.76797,clean
19,0.210526,0.122807,1,2,16,3,2,11,2,2,20,35,0.228571,368,224,57,5.510447,clean
113,0.168724,0.296296,5,2,16,2,1,17,16,5,26,49,0.22449,105,105,243,4.318258,buggy
12,0.05618,0.011236,4,1,0,1,1,13,0,1,6,9,0.444444,154,154,178,4.461691,buggy
52,0.471698,0.509434,1,0,0,1,1,15,0,3,4,5,0.6,76,61,53,3.800358,clean
9,0.078261,0,2,1,0,2,1,12,0,2,7,14,0.428571,18,18,115,2.590928,clean
4,0.057143,0.057143,0,1,0,1,1,13,0,3,45,135,0.007407,52,52,35,12.315005,buggy
59,1.9,0.066667,3,2,142,2,1,16,142,4,50,151,0.059603,189,189,30,1.599715,buggy
1,0.007752,0,0,1,0,1,1,16,0,7,15,20,0.1,100,100,129,9.788165,buggy
2,0.001988,0.001988,0,14,697,30,4,17,143,4,12,15,0.733333,496,352,503,2.588001,clean
