@relation camel_Master_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {buggy,clean}

@data
2,0.034483,0.034483,0,1,672,2,2,21,672,7,1736,7872,0.132495,145,57.666668,29,0,clean
30,0.035176,0.002513,4,1,0,1,1,10,0,7,817,2007,0.159442,43,43,796,0,buggy
9,0.01374,0,2,1,0,1,1,9,0,1,3,3,0.333333,9,9,655,129.210164,buggy
2,0,0.002632,0,8,636,12,7,17,14,4,226,1066,0.124765,42,42,760,0,clean
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,39,-0,buggy
3,0,0.053571,0,0,0,1,1,17,0,4,226,1066,0.124765,42,42,56,0,clean
2,0.020833,0.020833,0,0,51,2,2,12,51,1,2,22,0.045455,1049,742,48,0,clean
2,0.001608,0.001608,0,8,441,10,4,16,153,2,6,23,0.521739,38,29,622,58.764511,buggy
0,0,0,0,0,0,1,1,17,0,2,261,443,0.002257,8,8,111,15.579139,clean
5,0.05618,0,0,2,298,2,2,10,298,2,287,282,0.170213,309,273,89,29.023006,buggy
2,0.004878,0.004878,0,3,640,5,4,21,277,7,1736,7872,0.132495,145,57.666668,205,0,clean
34,0.4,0.025,2,1,46,2,2,12,46,3,212,210,0.061905,221,221,80,21.419956,buggy
2,0.008403,0.008403,0,1,0,1,1,16,0,5,44,400,0.015,44,44,119,0,buggy
40,0.367647,0.220588,2,1,0,1,1,12,0,1,1,2,0.5,10,10,68,146.043432,buggy
2,0.018519,0.018519,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,54,0,clean
2,0.011905,0.011905,0,2,105,4,3,13,13,1,285,493,0.018256,65,65,84,0,clean
15,0.164835,0,1,1,46,2,2,12,46,3,212,210,0.061905,221,221,91,21.419956,buggy
2,0.030303,0.030303,0,1,0,1,1,13,0,1,3,9,0.222222,518,428,33,0,buggy
2,0.016949,0.016949,0,2,105,4,3,13,13,1,285,493,0.018256,65,65,59,0,clean
